TransactionID,CustomerID,Amount,Date
16,55c2a19b5aaeae0e007551d0,187,1/1/2016
216,55ca280297159e0e00b914c6,40,4/1/2016
325,55ca280297159e0e00b914c6,54,5/1/2016
448,55ca280297159e0e00b914c6,23,6/1/2016
582,55ca280297159e0e00b914c6,35,7/1/2016
734,55ca280297159e0e00b914c6,57,8/1/2016
113,55cdcef0f1acf00e00025b0b,12,2/1/2016
175,55cdcef0f1acf00e00025b0b,117,3/1/2016
263,55cdcef0f1acf00e00025b0b,214,4/1/2016
369,55cdcef0f1acf00e00025b0b,191,5/1/2016
487,55cdcef0f1acf00e00025b0b,173,6/1/2016
623,55cdcef0f1acf00e00025b0b,69,7/1/2016
770,55cdcef0f1acf00e00025b0b,66,8/1/2016
198,55d726513ba7170e007d3a4c,49,3/1/2016
282,55d726513ba7170e007d3a4c,81,4/1/2016
386,55d726513ba7170e007d3a4c,61,5/1/2016
442,55d8aba7443a5b0e00b594ff,20,5/1/2016
546,55d8aba7443a5b0e00b594ff,163,6/1/2016
676,55d8aba7443a5b0e00b594ff,40,7/1/2016
27,55e4d31aca6a900e002881ba,76,1/1/2016
202,55e9ed882485450e0045e9e4,26,3/1/2016
286,55e9ed882485450e0045e9e4,256,4/1/2016
390,55e9ed882485450e0045e9e4,194,5/1/2016
507,55e9ed882485450e0045e9e4,161,6/1/2016
641,55e9ed882485450e0045e9e4,185,7/1/2016
787,55e9ed882485450e0045e9e4,213,8/1/2016
23,55f1f840b02d180e00ac1554,93,1/1/2016
65,55f1f840b02d180e00ac1554,227,2/1/2016
134,55f1f840b02d180e00ac1554,308,3/1/2016
227,55f1f840b02d180e00ac1554,436,4/1/2016
334,55f1f840b02d180e00ac1554,415,5/1/2016
454,55f1f840b02d180e00ac1554,560,6/1/2016
589,55f1f840b02d180e00ac1554,402,7/1/2016
740,55f1f840b02d180e00ac1554,373,8/1/2016
3,55f490a45341f00e002c46c2,73,1/1/2016
30,55f85fde25522a0e00e4a53f,57,1/1/2016
71,55f85fde25522a0e00e4a53f,168,2/1/2016
102,560019430133990e00689fee,27,2/1/2016
167,560019430133990e00689fee,37,3/1/2016
257,560019430133990e00689fee,51,4/1/2016
364,560019430133990e00689fee,87,5/1/2016
482,560019430133990e00689fee,105,6/1/2016
617,560019430133990e00689fee,102,7/1/2016
765,560019430133990e00689fee,89,8/1/2016
2,56094fb3d157b40e009e8062,65,1/1/2016
52,56094fb3d157b40e009e8062,59,2/1/2016
120,56094fb3d157b40e009e8062,193,3/1/2016
212,56094fb3d157b40e009e8062,3,4/1/2016
707,561480a25962470e007bdbce,200,7/1/2016
845,561480a25962470e007bdbce,152,8/1/2016
308,56241ad629c9f80e003a0478,45,4/1/2016
405,56241ad629c9f80e003a0478,105,5/1/2016
519,56241ad629c9f80e003a0478,93,6/1/2016
