date,bus,rail,total_rides
2002-08-13,871791,578996,1450787
2002-08-14,893558,586107,1479665
2002-08-15,920323,599375,1519698
2002-08-16,903666,592393,1496059
2002-08-17,644076,340569,984645
2002-08-18,490868,285298,776166
2002-08-19,847798,545503,1393301
2002-08-20,918696,586734,1505430
2002-08-21,904673,572717,1477390
2002-08-22,829797,533893,1363690
2002-08-23,903292,570031,1473323
2002-08-24,625725,308392,934117
2002-08-25,441076,227484,668560
2002-08-26,920546,572967,1493513
2002-08-27,923644,596884,1520528
2002-08-28,922170,590348,1512518
2002-08-29,808555,532322,1340877
2002-08-30,987793,608056,1595849
2002-08-31,666152,345777,1011929
2002-09-01,477226,257229,734455
2002-09-02,381482,201136,582618
2002-09-03,1106907,625970,1732877
2002-09-04,1087925,634665,1722590
2002-09-05,1083538,634950,1718488
2002-09-06,1082951,634809,1717760
2002-09-07,643335,318886,962221
2002-09-08,439942,218716,658658
2002-09-09,1071206,630453,1701659
2002-09-10,1050992,640278,1691270
2002-09-11,1045640,631554,1677194
2002-09-12,1059762,645114,1704876
2002-09-13,1064345,655102,1719447
2002-09-14,642689,327322,970011
2002-09-15,421429,221310,642739
2002-09-16,1049667,617848,1667515
2002-09-17,1064546,644444,1708990
2002-09-18,1039162,643763,1682925
2002-09-19,1038608,640884,1679492
2002-09-20,1019280,626196,1645476
2002-09-21,674983,330553,1005536
2002-09-22,416973,215142,632115
2002-09-23,1055515,637798,1693313
2002-09-24,1055580,664958,1720538
2002-09-25,1064437,666345,1730782
2002-09-26,1057421,662347,1719768
2002-09-27,1058970,651373,1710343
2002-09-28,632188,338847,971035
2002-09-29,421618,232441,654059
2002-09-30,1048696,634065,1682761
2002-10-01,1098830,653561,1752391
2002-10-02,1059836,648879,1708715
2002-10-03,1100107,655905,1756012
2002-10-04,1024955,626723,1651678
2002-10-05,672805,338207,1011012
2002-10-06,423210,223075,646285
2002-10-07,1086922,641838,1728760
2002-10-08,1074824,650758,1725582
2002-10-09,1064324,648974,1713298
2002-10-10,1072954,655002,1727956
2002-10-11,1074197,658585,1732782
2002-10-12,612527,332781,945308
2002-10-13,407917,323103,731020
2002-10-14,806818,542057,1348875
2002-10-15,1068455,653527,1721982
2002-10-16,1036205,645880,1682085
2002-10-17,1030300,645590,1675890
2002-10-18,1059316,643043,1702359
2002-10-19,654965,333538,988503
2002-10-20,424767,222167,646934
2002-10-21,1057968,632256,1690224
2002-10-22,1047657,645112,1692769
2002-10-23,1013066,635553,1648619
2002-10-24,1014798,642039,1656837
2002-10-25,1022926,632981,1655907
2002-10-26,626185,331030,957215
2002-10-27,413385,217556,630941
2002-10-28,1041265,628314,1669579
2002-10-29,1025525,636398,1661923
2002-10-30,1036745,639993,1676738
2002-10-31,1000155,635297,1635452
2002-11-01,1069031,628183,1697214
2002-11-02,647400,313106,960506
2002-11-03,418620,211506,630126
2002-11-04,1072235,633872,1706107
2002-11-05,994530,613203,1607733
2002-11-06,1045767,644971,1690738
2002-11-07,1065889,664817,1730706
2002-11-08,995294,646927,1642221
2002-11-09,630142,329264,959406
2002-11-10,419858,220134,639992
2002-11-11,780558,519021,1299579
2002-11-12,1029700,637242,1666942
2002-11-13,1035982,635224,1671206
2002-11-14,956533,625010,1581543
2002-11-15,1042694,630267,1672961
2002-11-16,600110,314114,914224
2002-11-17,393692,204651,598343
2002-11-18,1018831,619368,1638199
2002-11-19,1058349,638719,1697068
2002-11-20,1033748,630680,1664428
2002-11-21,983825,621257,1605082
2002-11-22,1030889,618981,1649870
2002-11-23,631388,353053,984441
2002-11-24,393321,202257,595578
2002-11-25,992101,602628,1594729
2002-11-26,959679,611673,1571352
2002-11-27,946620,584367,1530987
2002-11-28,297477,145995,443472
2002-11-29,676405,367260,1043665
2002-11-30,525319,255100,780419
2002-12-01,362192,187150,549342
2002-12-02,966808,598780,1565588
2002-12-03,1007666,622071,1629737
2002-12-04,1003459,610601,1614060
2002-12-05,1005218,607822,1613040
2002-12-06,1018401,602004,1620405
2002-12-07,627855,318034,945889
2002-12-08,396717,202070,598787
2002-12-09,994622,575116,1569738
2002-12-10,1030456,601656,1632112
2002-12-11,1021640,603601,1625241
2002-12-12,1015667,602683,1618350
2002-12-13,1020480,600852,1621332
2002-12-14,653848,325639,979487
2002-12-15,435253,216394,651647
2002-12-16,1003932,577286,1581218
2002-12-17,985528,583328,1568856
2002-12-18,939870,571921,1511791
2002-12-19,1020038,590493,1610531
2002-12-20,984913,565925,1550838
2002-12-21,614025,284719,898744
2002-12-22,404210,194323,598533
2002-12-23,827316,467245,1294561
2002-12-24,621673,319916,941589
2002-12-25,237547,96846,334393
2002-12-26,661076,372317,1033393
2002-12-27,744896,424575,1169471
2002-12-28,528087,236606,764693
2002-12-29,380197,181081,561278
2002-12-30,773707,469806,1243513
2002-12-31,792623,456865,1249488
2003-01-01,325478,169985,495463
2003-01-02,757781,484840,1242621
2003-01-03,861580,515985,1377565
2003-01-04,570941,255217,826158
2003-01-05,377813,177159,554972
2003-01-06,982617,574868,1557485
2003-01-07,982542,580676,1563218
2003-01-08,1011812,592758,1604570
2003-01-09,979678,586435,1566113
2003-01-10,963808,567691,1531499
2003-01-11,506478,250051,756529
2003-01-12,346918,171467,518385
2003-01-13,973653,585781,1559434
2003-01-14,940805,594400,1535205
2003-01-15,928578,583104,1511682
2003-01-16,945280,591915,1537195
2003-01-17,973358,584772,1558130
2003-01-18,512435,261058,773493
2003-01-19,327279,172937,500216
2003-01-20,604089,375958,980047
2003-01-21,954156,590827,1544983
2003-01-22,912033,572491,1484524
2003-01-23,822317,541015,1363332
2003-01-24,893501,546353,1439854
2003-01-25,547944,259287,807231
2003-01-26,335046,168783,503829
2003-01-27,922033,564295,1486328
2003-01-28,952120,598146,1550266
2003-01-29,970605,594588,1565193
2003-01-30,993731,601060,1594791
2003-01-31,929004,577555,1506559
2003-02-01,639705,291226,930931
2003-02-02,415598,192294,607892
2003-02-03,1039918,596186,1636104
2003-02-04,980582,597044,1577626
2003-02-05,961776,585552,1547328
2003-02-06,981973,596888,1578861
2003-02-07,953979,573249,1527228
2003-02-08,563430,270521,833951
2003-02-09,367964,180861,548825
2003-02-10,948507,584120,1532627
2003-02-11,928346,592292,1520638
2003-02-12,749254,523192,1272446
2003-02-13,978871,597819,1576690
2003-02-14,985806,594045,1579851
2003-02-15,543945,271823,815768
2003-02-16,365939,188276,554215
2003-02-17,709845,447938,1157783
2003-02-18,974450,604717,1579167
2003-02-19,982943,605097,1588040
2003-02-20,988095,611766,1599861
2003-02-21,1005940,601156,1607096
2003-02-22,529921,276538,806459
2003-02-23,377363,185905,563268
2003-02-24,908324,574013,1482337
2003-02-25,897857,572520,1470377
2003-02-26,939161,588630,1527791
2003-02-27,951569,599144,1550713
2003-02-28,1011530,597504,1609034
2003-03-01,610177,291264,901441
2003-03-02,347417,182200,529617
2003-03-03,822165,535306,1357471
2003-03-04,964967,606043,1571010
2003-03-05,868551,583929,1452480
2003-03-06,874641,573715,1448356
2003-03-07,980484,584273,1564757
2003-03-08,550093,274523,824616
2003-03-09,335884,177874,513758
2003-03-10,916661,573635,1490296
2003-03-11,971894,601034,1572928
2003-03-12,981590,604333,1585923
2003-03-13,978881,609896,1588777
2003-03-14,1009566,615377,1624943
2003-03-15,637081,381570,1018651
2003-03-16,429227,235438,664665
2003-03-17,976703,597982,1574685
2003-03-18,963349,596226,1559575
2003-03-19,938499,586881,1525380
2003-03-20,936654,594341,1530995
2003-03-21,967479,588655,1556134
2003-03-22,577660,292329,869989
2003-03-23,410745,215626,626371
2003-03-24,962889,584149,1547038
2003-03-25,973017,594589,1567606
2003-03-26,968581,594924,1563505
2003-03-27,969195,593676,1562871
2003-03-28,815984,552242,1368226
2003-03-29,555638,280361,835999
2003-03-30,372071,191109,563180
2003-03-31,973924,577834,1551758
2003-04-01,1028531,603564,1632095
